Month,Count,Visa,Citizenship
2007-09-01,4.0,Residence,United Arab Emirates
2007-10-01,2.0,Residence,United Arab Emirates
2007-11-01,4.0,Residence,United Arab Emirates
2007-12-01,1.0,Residence,United Arab Emirates
2008-01-01,2.0,Residence,United Arab Emirates
2008-02-01,4.0,Residence,United Arab Emirates
2008-03-01,1.0,Residence,United Arab Emirates
2008-04-01,0.0,Residence,United Arab Emirates
2008-05-01,1.0,Residence,United Arab Emirates
2008-06-01,3.0,Residence,United Arab Emirates
2008-07-01,4.0,Residence,United Arab Emirates
2008-08-01,2.0,Residence,United Arab Emirates
2008-09-01,1.0,Residence,United Arab Emirates
2008-10-01,1.0,Residence,United Arab Emirates
2008-11-01,3.0,Residence,United Arab Emirates
2008-12-01,8.0,Residence,United Arab Emirates
2009-01-01,12.0,Residence,United Arab Emirates
2009-02-01,1.0,Residence,United Arab Emirates
2009-03-01,2.0,Residence,United Arab Emirates
2009-04-01,1.0,Residence,United Arab Emirates
2009-05-01,1.0,Residence,United Arab Emirates
2009-06-01,3.0,Residence,United Arab Emirates
2009-07-01,3.0,Residence,United Arab Emirates
2009-08-01,7.0,Residence,United Arab Emirates
2009-09-01,2.0,Residence,United Arab Emirates
2009-10-01,3.0,Residence,United Arab Emirates
2009-11-01,1.0,Residence,United Arab Emirates
2009-12-01,3.0,Residence,United Arab Emirates
2010-01-01,8.0,Residence,United Arab Emirates
2010-02-01,3.0,Residence,United Arab Emirates
2010-03-01,2.0,Residence,United Arab Emirates
2010-04-01,3.0,Residence,United Arab Emirates
2010-05-01,1.0,Residence,United Arab Emirates
2010-06-01,1.0,Residence,United Arab Emirates
2010-07-01,10.0,Residence,United Arab Emirates
2010-08-01,9.0,Residence,United Arab Emirates
2010-09-01,4.0,Residence,United Arab Emirates
2010-10-01,7.0,Residence,United Arab Emirates
2010-11-01,1.0,Residence,United Arab Emirates
2010-12-01,3.0,Residence,United Arab Emirates
2011-01-01,3.0,Residence,United Arab Emirates
2011-02-01,4.0,Residence,United Arab Emirates
2011-03-01,4.0,Residence,United Arab Emirates
2011-04-01,5.0,Residence,United Arab Emirates
2011-05-01,7.0,Residence,United Arab Emirates
2011-06-01,2.0,Residence,United Arab Emirates
2011-07-01,4.0,Residence,United Arab Emirates
2011-08-01,5.0,Residence,United Arab Emirates
2011-09-01,3.0,Residence,United Arab Emirates
2011-10-01,1.0,Residence,United Arab Emirates
2011-11-01,8.0,Residence,United Arab Emirates
2011-12-01,2.0,Residence,United Arab Emirates
2012-01-01,14.0,Residence,United Arab Emirates
2012-02-01,4.0,Residence,United Arab Emirates
2012-03-01,1.0,Residence,United Arab Emirates
2012-04-01,0.0,Residence,United Arab Emirates
2012-05-01,2.0,Residence,United Arab Emirates
2012-06-01,14.0,Residence,United Arab Emirates
2012-07-01,13.0,Residence,United Arab Emirates
2012-08-01,1.0,Residence,United Arab Emirates
2012-09-01,2.0,Residence,United Arab Emirates
2012-10-01,1.0,Residence,United Arab Emirates
2012-11-01,5.0,Residence,United Arab Emirates
2012-12-01,5.0,Residence,United Arab Emirates
2013-01-01,17.0,Residence,United Arab Emirates
2013-02-01,7.0,Residence,United Arab Emirates
2013-03-01,3.0,Residence,United Arab Emirates
2013-04-01,9.0,Residence,United Arab Emirates
2013-05-01,4.0,Residence,United Arab Emirates
2013-06-01,6.0,Residence,United Arab Emirates
2013-07-01,7.0,Residence,United Arab Emirates
2013-08-01,14.0,Residence,United Arab Emirates
2013-09-01,2.0,Residence,United Arab Emirates
2013-10-01,1.0,Residence,United Arab Emirates
2013-11-01,7.0,Residence,United Arab Emirates
2013-12-01,10.0,Residence,United Arab Emirates
2014-01-01,10.0,Residence,United Arab Emirates
2014-02-01,7.0,Residence,United Arab Emirates
2014-03-01,9.0,Residence,United Arab Emirates
2014-04-01,3.0,Residence,United Arab Emirates
2014-05-01,6.0,Residence,United Arab Emirates
2014-06-01,4.0,Residence,United Arab Emirates
2014-07-01,9.0,Residence,United Arab Emirates
2014-08-01,7.0,Residence,United Arab Emirates
2014-09-01,19.0,Residence,United Arab Emirates
2014-10-01,7.0,Residence,United Arab Emirates
2014-11-01,13.0,Residence,United Arab Emirates
2014-12-01,6.0,Residence,United Arab Emirates
2015-01-01,21.0,Residence,United Arab Emirates
2015-02-01,12.0,Residence,United Arab Emirates
2015-03-01,10.0,Residence,United Arab Emirates
2015-04-01,11.0,Residence,United Arab Emirates
2015-05-01,8.0,Residence,United Arab Emirates
2015-06-01,8.0,Residence,United Arab Emirates
2015-07-01,20.0,Residence,United Arab Emirates
2015-08-01,6.0,Residence,United Arab Emirates
2015-09-01,8.0,Residence,United Arab Emirates
2015-10-01,15.0,Residence,United Arab Emirates
2015-11-01,6.0,Residence,United Arab Emirates
2015-12-01,5.0,Residence,United Arab Emirates
2016-01-01,18.0,Residence,United Arab Emirates
2016-02-01,8.0,Residence,United Arab Emirates
2016-03-01,27.0,Residence,United Arab Emirates
2016-04-01,17.0,Residence,United Arab Emirates
2016-05-01,16.0,Residence,United Arab Emirates
2016-06-01,10.0,Residence,United Arab Emirates
2016-07-01,14.0,Residence,United Arab Emirates
2016-08-01,33.0,Residence,United Arab Emirates
2016-09-01,18.0,Residence,United Arab Emirates
2016-10-01,15.0,Residence,United Arab Emirates
2016-11-01,14.0,Residence,United Arab Emirates
2016-12-01,29.0,Residence,United Arab Emirates
2017-01-01,26.0,Residence,United Arab Emirates
2017-02-01,12.0,Residence,United Arab Emirates
2017-03-01,18.0,Residence,United Arab Emirates
2017-04-01,17.0,Residence,United Arab Emirates
2017-05-01,17.0,Residence,United Arab Emirates
2017-06-01,16.0,Residence,United Arab Emirates
2017-07-01,24.0,Residence,United Arab Emirates
2017-08-01,23.0,Residence,United Arab Emirates
2017-09-01,9.0,Residence,United Arab Emirates
2017-10-01,21.0,Residence,United Arab Emirates
2017-11-01,17.0,Residence,United Arab Emirates
2017-12-01,7.0,Residence,United Arab Emirates
2018-01-01,50.0,Residence,United Arab Emirates
2018-02-01,12.0,Residence,United Arab Emirates
2018-03-01,10.0,Residence,United Arab Emirates
2018-04-01,1.0,Residence,United Arab Emirates
2018-05-01,10.0,Residence,United Arab Emirates
2018-06-01,9.0,Residence,United Arab Emirates
2018-07-01,22.0,Residence,United Arab Emirates
2018-08-01,10.0,Residence,United Arab Emirates
2018-09-01,19.0,Residence,United Arab Emirates
2018-10-01,14.0,Residence,United Arab Emirates
2018-11-01,7.0,Residence,United Arab Emirates
2018-12-01,16.0,Residence,United Arab Emirates
2019-01-01,16.0,Residence,United Arab Emirates
2019-02-01,19.0,Residence,United Arab Emirates
2019-03-01,9.0,Residence,United Arab Emirates
2019-04-01,18.0,Residence,United Arab Emirates
2019-05-01,7.0,Residence,United Arab Emirates
2019-06-01,13.0,Residence,United Arab Emirates
2019-07-01,16.0,Residence,United Arab Emirates
2019-08-01,9.0,Residence,United Arab Emirates
2019-09-01,15.0,Residence,United Arab Emirates
2019-10-01,8.0,Residence,United Arab Emirates
2019-11-01,16.0,Residence,United Arab Emirates
2019-12-01,6.0,Residence,United Arab Emirates
2020-01-01,23.0,Residence,United Arab Emirates
2020-02-01,19.0,Residence,United Arab Emirates
2020-03-01,4.0,Residence,United Arab Emirates
2020-04-01,0.0,Residence,United Arab Emirates
2020-05-01,2.0,Residence,United Arab Emirates
2020-06-01,1.0,Residence,United Arab Emirates
2020-07-01,23.0,Residence,United Arab Emirates
2020-08-01,4.0,Residence,United Arab Emirates
2020-09-01,5.0,Residence,United Arab Emirates
2020-10-01,8.0,Residence,United Arab Emirates
2020-11-01,4.0,Residence,United Arab Emirates
2020-12-01,4.0,Residence,United Arab Emirates
2021-01-01,11.0,Residence,United Arab Emirates
2021-02-01,13.0,Residence,United Arab Emirates
2021-03-01,3.0,Residence,United Arab Emirates
2021-04-01,2.0,Residence,United Arab Emirates
2021-05-01,3.0,Residence,United Arab Emirates
2021-06-01,5.0,Residence,United Arab Emirates
2021-07-01,5.0,Residence,United Arab Emirates
2021-08-01,6.0,Residence,United Arab Emirates
2021-09-01,1.0,Residence,United Arab Emirates
2021-10-01,5.0,Residence,United Arab Emirates
2021-11-01,4.0,Residence,United Arab Emirates
2021-12-01,5.0,Residence,United Arab Emirates
2022-01-01,2.0,Residence,United Arab Emirates
2022-02-01,2.0,Residence,United Arab Emirates
2022-03-01,1.0,Residence,United Arab Emirates
2022-04-01,6.0,Residence,United Arab Emirates
2022-05-01,9.0,Residence,United Arab Emirates
2022-06-01,8.0,Residence,United Arab Emirates
2022-07-01,6.0,Residence,United Arab Emirates
2022-08-01,2.0,Residence,United Arab Emirates
2022-09-01,9.0,Residence,United Arab Emirates
2022-10-01,5.0,Residence,United Arab Emirates
2022-11-01,14.0,Residence,United Arab Emirates
2022-12-01,7.0,Residence,United Arab Emirates
2023-01-01,3.0,Residence,United Arab Emirates
2023-02-01,9.0,Residence,United Arab Emirates
2023-03-01,15.0,Residence,United Arab Emirates
2023-04-01,11.0,Residence,United Arab Emirates
2023-05-01,9.0,Residence,United Arab Emirates
2023-06-01,16.0,Residence,United Arab Emirates
2023-07-01,12.0,Residence,United Arab Emirates
2023-08-01,11.0,Residence,United Arab Emirates
2023-09-01,12.0,Residence,United Arab Emirates
2023-10-01,15.0,Residence,United Arab Emirates
2023-11-01,18.0,Residence,United Arab Emirates
2023-12-01,37.0,Residence,United Arab Emirates
2024-01-01,27.0,Residence,United Arab Emirates
2024-02-01,13.0,Residence,United Arab Emirates
2024-03-01,21.0,Residence,United Arab Emirates
2024-04-01,24.0,Residence,United Arab Emirates
2024-05-01,29.0,Residence,United Arab Emirates
2024-06-01,23.0,Residence,United Arab Emirates
2024-07-01,9.0,Residence,United Arab Emirates
2024-08-01,19.0,Residence,United Arab Emirates
2024-09-01,12.0,Residence,United Arab Emirates
2024-10-01,28.0,Residence,United Arab Emirates
2024-11-01,15.0,Residence,United Arab Emirates
2024-12-01,18.0,Residence,United Arab Emirates
2025-01-01,21.0,Residence,United Arab Emirates
2025-02-01,12.0,Residence,United Arab Emirates
2025-03-01,23.0,Residence,United Arab Emirates
2025-04-01,8.0,Residence,United Arab Emirates
2025-05-01,11.0,Residence,United Arab Emirates
2025-06-01,15.0,Residence,United Arab Emirates
2025-07-01,13.0,Residence,United Arab Emirates
2025-08-01,4.0,Residence,United Arab Emirates
2025-09-01,17.0,Residence,United Arab Emirates
2025-10-01,8.0,Residence,United Arab Emirates
2025-11-01,13.0,Residence,United Arab Emirates
2025-12-01,11.0,Residence,United Arab Emirates
2026-01-01,12.0,Residence,United Arab Emirates
2026-02-01,5.0,Residence,United Arab Emirates
2026-03-01,6.0,Residence,United Arab Emirates
2001-01-01,0.0,Residence,Australia
2001-02-01,0.0,Residence,Australia
2001-03-01,0.0,Residence,Australia
2001-04-01,0.0,Residence,Australia
2001-05-01,0.0,Residence,Australia
2001-06-01,0.0,Residence,Australia
2001-07-01,0.0,Residence,Australia
2001-08-01,0.0,Residence,Australia
2001-09-01,0.0,Residence,Australia
2001-10-01,0.0,Residence,Australia
2001-11-01,0.0,Residence,Australia
2001-12-01,0.0,Residence,Australia
2002-01-01,0.0,Residence,Australia
2002-02-01,0.0,Residence,Australia
2002-03-01,0.0,Residence,Australia
2002-04-01,0.0,Residence,Australia
2002-05-01,0.0,Residence,Australia
2002-06-01,0.0,Residence,Australia
2002-07-01,0.0,Residence,Australia
2002-08-01,0.0,Residence,Australia
2002-09-01,0.0,Residence,Australia
2002-10-01,0.0,Residence,Australia
2002-11-01,0.0,Residence,Australia
2002-12-01,0.0,Residence,Australia
2003-01-01,0.0,Residence,Australia
2003-02-01,0.0,Residence,Australia
2003-03-01,0.0,Residence,Australia
2003-04-01,0.0,Residence,Australia
2003-05-01,0.0,Residence,Australia
2003-06-01,0.0,Residence,Australia
2003-07-01,47.0,Residence,Australia
2003-08-01,21.0,Residence,Australia
2003-09-01,18.0,Residence,Australia
2003-10-01,34.0,Residence,Australia
2003-11-01,42.0,Residence,Australia
2003-12-01,49.0,Residence,Australia
2004-01-01,50.0,Residence,Australia
2004-02-01,35.0,Residence,Australia
2004-03-01,34.0,Residence,Australia
2004-04-01,35.0,Residence,Australia
2004-05-01,28.0,Residence,Australia
2004-06-01,35.0,Residence,Australia
2004-07-01,21.0,Residence,Australia
2004-08-01,24.0,Residence,Australia
2004-09-01,33.0,Residence,Australia
2004-10-01,35.0,Residence,Australia
2004-11-01,23.0,Residence,Australia
2004-12-01,55.0,Residence,Australia
2005-01-01,43.0,Residence,Australia
2005-02-01,39.0,Residence,Australia
2005-03-01,32.0,Residence,Australia
2005-04-01,38.0,Residence,Australia
2005-05-01,21.0,Residence,Australia
2005-06-01,28.0,Residence,Australia
2005-07-01,28.0,Residence,Australia
2005-08-01,24.0,Residence,Australia
2005-09-01,41.0,Residence,Australia
2005-10-01,14.0,Residence,Australia
2005-11-01,36.0,Residence,Australia
2005-12-01,40.0,Residence,Australia
2006-01-01,35.0,Residence,Australia
2006-02-01,30.0,Residence,Australia
2006-03-01,18.0,Residence,Australia
2006-04-01,33.0,Residence,Australia
2006-05-01,31.0,Residence,Australia
2006-06-01,20.0,Residence,Australia
2006-07-01,18.0,Residence,Australia
2006-08-01,29.0,Residence,Australia
2006-09-01,20.0,Residence,Australia
2006-10-01,27.0,Residence,Australia
2006-11-01,23.0,Residence,Australia
2006-12-01,44.0,Residence,Australia
2007-01-01,31.0,Residence,Australia
2007-02-01,33.0,Residence,Australia
2007-03-01,33.0,Residence,Australia
2007-04-01,22.0,Residence,Australia
2007-05-01,29.0,Residence,Australia
2007-06-01,24.0,Residence,Australia
2007-07-01,30.0,Residence,Australia
2007-08-01,19.0,Residence,Australia
2007-09-01,30.0,Residence,Australia
2007-10-01,20.0,Residence,Australia
2007-11-01,19.0,Residence,Australia
2007-12-01,25.0,Residence,Australia
2008-01-01,29.0,Residence,Australia
2008-02-01,35.0,Residence,Australia
2008-03-01,32.0,Residence,Australia
2008-04-01,12.0,Residence,Australia
2008-05-01,19.0,Residence,Australia
2008-06-01,27.0,Residence,Australia
2008-07-01,24.0,Residence,Australia
2008-08-01,34.0,Residence,Australia
2008-09-01,27.0,Residence,Australia
2008-10-01,36.0,Residence,Australia
2008-11-01,40.0,Residence,Australia
2008-12-01,34.0,Residence,Australia
2009-01-01,40.0,Residence,Australia
2009-02-01,20.0,Residence,Australia
2009-03-01,18.0,Residence,Australia
2009-04-01,29.0,Residence,Australia
2009-05-01,18.0,Residence,Australia
2009-06-01,22.0,Residence,Australia
2009-07-01,22.0,Residence,Australia
2009-08-01,25.0,Residence,Australia
2009-09-01,37.0,Residence,Australia
2009-10-01,22.0,Residence,Australia
2009-11-01,40.0,Residence,Australia
2009-12-01,45.0,Residence,Australia
2010-01-01,39.0,Residence,Australia
2010-02-01,31.0,Residence,Australia
2010-03-01,32.0,Residence,Australia
2010-04-01,26.0,Residence,Australia
2010-05-01,22.0,Residence,Australia
2010-06-01,34.0,Residence,Australia
2010-07-01,34.0,Residence,Australia
2010-08-01,31.0,Residence,Australia
2010-09-01,26.0,Residence,Australia
2010-10-01,25.0,Residence,Australia
2010-11-01,39.0,Residence,Australia
2010-12-01,30.0,Residence,Australia
2011-01-01,41.0,Residence,Australia
2011-02-01,32.0,Residence,Australia
2011-03-01,29.0,Residence,Australia
2011-04-01,37.0,Residence,Australia
2011-05-01,20.0,Residence,Australia
2011-06-01,38.0,Residence,Australia
2011-07-01,23.0,Residence,Australia
2011-08-01,27.0,Residence,Australia
2011-09-01,31.0,Residence,Australia
2011-10-01,24.0,Residence,Australia
2011-11-01,29.0,Residence,Australia
2011-12-01,51.0,Residence,Australia
2012-01-01,46.0,Residence,Australia
2012-02-01,30.0,Residence,Australia
2012-03-01,22.0,Residence,Australia
2012-04-01,26.0,Residence,Australia
2012-05-01,24.0,Residence,Australia
2012-06-01,18.0,Residence,Australia
2012-07-01,29.0,Residence,Australia
2012-08-01,26.0,Residence,Australia
2012-09-01,34.0,Residence,Australia
2012-10-01,25.0,Residence,Australia
2012-11-01,34.0,Residence,Australia
2012-12-01,51.0,Residence,Australia
2013-01-01,42.0,Residence,Australia
2013-02-01,38.0,Residence,Australia
2013-03-01,40.0,Residence,Australia
2013-04-01,20.0,Residence,Australia
2013-05-01,40.0,Residence,Australia
2013-06-01,45.0,Residence,Australia
2013-07-01,44.0,Residence,Australia
2013-08-01,26.0,Residence,Australia
2013-09-01,41.0,Residence,Australia
2013-10-01,32.0,Residence,Australia
2013-11-01,38.0,Residence,Australia
2013-12-01,59.0,Residence,Australia
2014-01-01,54.0,Residence,Australia
2014-02-01,51.0,Residence,Australia
2014-03-01,45.0,Residence,Australia
2014-04-01,48.0,Residence,Australia
2014-05-01,41.0,Residence,Australia
2014-06-01,42.0,Residence,Australia
2014-07-01,55.0,Residence,Australia
2014-08-01,32.0,Residence,Australia
2014-09-01,40.0,Residence,Australia
2014-10-01,44.0,Residence,Australia
2014-11-01,47.0,Residence,Australia
2014-12-01,61.0,Residence,Australia
2015-01-01,60.0,Residence,Australia
2015-02-01,50.0,Residence,Australia
2015-03-01,51.0,Residence,Australia
2015-04-01,41.0,Residence,Australia
2015-05-01,45.0,Residence,Australia
2015-06-01,47.0,Residence,Australia
2015-07-01,54.0,Residence,Australia
2015-08-01,49.0,Residence,Australia
2015-09-01,45.0,Residence,Australia
2015-10-01,36.0,Residence,Australia
2015-11-01,48.0,Residence,Australia
2015-12-01,68.0,Residence,Australia
2016-01-01,77.0,Residence,Australia
2016-02-01,46.0,Residence,Australia
2016-03-01,42.0,Residence,Australia
2016-04-01,40.0,Residence,Australia
2016-05-01,48.0,Residence,Australia
2016-06-01,40.0,Residence,Australia
2016-07-01,38.0,Residence,Australia
2016-08-01,48.0,Residence,Australia
2016-09-01,30.0,Residence,Australia
2016-10-01,31.0,Residence,Australia
2016-11-01,41.0,Residence,Australia
2016-12-01,57.0,Residence,Australia
2017-01-01,56.0,Residence,Australia
2017-02-01,32.0,Residence,Australia
2017-03-01,35.0,Residence,Australia
2017-04-01,35.0,Residence,Australia
2017-05-01,23.0,Residence,Australia
2017-06-01,33.0,Residence,Australia
2017-07-01,34.0,Residence,Australia
2017-08-01,36.0,Residence,Australia
2017-09-01,35.0,Residence,Australia
2017-10-01,44.0,Residence,Australia
2017-11-01,32.0,Residence,Australia
2017-12-01,46.0,Residence,Australia
2018-01-01,45.0,Residence,Australia
2018-02-01,20.0,Residence,Australia
2018-03-01,38.0,Residence,Australia
2018-04-01,19.0,Residence,Australia
2018-05-01,27.0,Residence,Australia
2018-06-01,33.0,Residence,Australia
2018-07-01,33.0,Residence,Australia
2018-08-01,27.0,Residence,Australia
2018-09-01,41.0,Residence,Australia
2018-10-01,39.0,Residence,Australia
2018-11-01,45.0,Residence,Australia
2018-12-01,48.0,Residence,Australia
2019-01-01,57.0,Residence,Australia
2019-02-01,32.0,Residence,Australia
2019-03-01,41.0,Residence,Australia
2019-04-01,37.0,Residence,Australia
2019-05-01,39.0,Residence,Australia
2019-06-01,60.0,Residence,Australia
2019-07-01,42.0,Residence,Australia
2019-08-01,48.0,Residence,Australia
2019-09-01,44.0,Residence,Australia
2019-10-01,61.0,Residence,Australia
2019-11-01,58.0,Residence,Australia
2019-12-01,61.0,Residence,Australia
2020-01-01,63.0,Residence,Australia
2020-02-01,44.0,Residence,Australia
2020-03-01,42.0,Residence,Australia
2020-04-01,2.0,Residence,Australia
2020-05-01,6.0,Residence,Australia
2020-06-01,4.0,Residence,Australia
2020-07-01,17.0,Residence,Australia
2020-08-01,21.0,Residence,Australia
2020-09-01,17.0,Residence,Australia
2020-10-01,22.0,Residence,Australia
2020-11-01,9.0,Residence,Australia
2020-12-01,15.0,Residence,Australia
2021-01-01,21.0,Residence,Australia
2021-02-01,15.0,Residence,Australia
2021-03-01,20.0,Residence,Australia
2021-04-01,51.0,Residence,Australia
2021-05-01,62.0,Residence,Australia
2021-06-01,39.0,Residence,Australia
2021-07-01,32.0,Residence,Australia
2021-08-01,2.0,Residence,Australia
2021-09-01,3.0,Residence,Australia
2021-10-01,10.0,Residence,Australia
2021-11-01,11.0,Residence,Australia
2021-12-01,14.0,Residence,Australia
2022-01-01,7.0,Residence,Australia
2022-02-01,7.0,Residence,Australia
2022-03-01,53.0,Residence,Australia
2022-04-01,49.0,Residence,Australia
2022-05-01,34.0,Residence,Australia
2022-06-01,40.0,Residence,Australia
2022-07-01,36.0,Residence,Australia
2022-08-01,36.0,Residence,Australia
2022-09-01,30.0,Residence,Australia
2022-10-01,26.0,Residence,Australia
2022-11-01,31.0,Residence,Australia
2022-12-01,30.0,Residence,Australia
2023-01-01,37.0,Residence,Australia
2023-02-01,34.0,Residence,Australia
2023-03-01,45.0,Residence,Australia
2023-04-01,26.0,Residence,Australia
2023-05-01,29.0,Residence,Australia
2023-06-01,40.0,Residence,Australia
2023-07-01,32.0,Residence,Australia
2023-08-01,26.0,Residence,Australia
2023-09-01,35.0,Residence,Australia
2023-10-01,16.0,Residence,Australia
2023-11-01,33.0,Residence,Australia
2023-12-01,47.0,Residence,Australia
2024-01-01,48.0,Residence,Australia
2024-02-01,25.0,Residence,Australia
2024-03-01,27.0,Residence,Australia
2024-04-01,28.0,Residence,Australia
2024-05-01,29.0,Residence,Australia
2024-06-01,33.0,Residence,Australia
2024-07-01,18.0,Residence,Australia
2024-08-01,20.0,Residence,Australia
2024-09-01,32.0,Residence,Australia
2024-10-01,37.0,Residence,Australia
2024-11-01,32.0,Residence,Australia
2024-12-01,34.0,Residence,Australia
2025-01-01,48.0,Residence,Australia
2025-02-01,32.0,Residence,Australia
2025-03-01,18.0,Residence,Australia
2025-04-01,28.0,Residence,Australia
2025-05-01,34.0,Residence,Australia
2025-06-01,57.0,Residence,Australia
2025-07-01,32.0,Residence,Australia
2025-08-01,36.0,Residence,Australia
2025-09-01,38.0,Residence,Australia
2025-10-01,40.0,Residence,Australia
2025-11-01,35.0,Residence,Australia
2025-12-01,61.0,Residence,Australia
2026-01-01,63.0,Residence,Australia
2026-02-01,52.0,Residence,Australia
2026-03-01,60.0,Residence,Australia
2001-01-01,0.0,Residence,Canada
2001-02-01,0.0,Residence,Canada
2001-03-01,0.0,Residence,Canada
2001-04-01,0.0,Residence,Canada
2001-05-01,0.0,Residence,Canada
2001-06-01,0.0,Residence,Canada
2001-07-01,0.0,Residence,Canada
2001-08-01,0.0,Residence,Canada
2001-09-01,0.0,Residence,Canada
2001-10-01,0.0,Residence,Canada
2001-11-01,0.0,Residence,Canada
2001-12-01,0.0,Residence,Canada
2002-01-01,0.0,Residence,Canada
2002-02-01,0.0,Residence,Canada
2002-03-01,0.0,Residence,Canada
2002-04-01,0.0,Residence,Canada
2002-05-01,0.0,Residence,Canada
2002-06-01,0.0,Residence,Canada
2002-07-01,0.0,Residence,Canada
2002-08-01,0.0,Residence,Canada
2002-09-01,0.0,Residence,Canada
2002-10-01,0.0,Residence,Canada
2002-11-01,0.0,Residence,Canada
2002-12-01,0.0,Residence,Canada
2003-01-01,0.0,Residence,Canada
2003-02-01,0.0,Residence,Canada
2003-03-01,0.0,Residence,Canada
2003-04-01,0.0,Residence,Canada
2003-05-01,0.0,Residence,Canada
2003-06-01,0.0,Residence,Canada
2003-07-01,3.0,Residence,Canada
2003-08-01,7.0,Residence,Canada
2003-09-01,13.0,Residence,Canada
2003-10-01,4.0,Residence,Canada
2003-11-01,9.0,Residence,Canada
2003-12-01,3.0,Residence,Canada
2004-01-01,2.0,Residence,Canada
2004-02-01,3.0,Residence,Canada
2004-03-01,8.0,Residence,Canada
2004-04-01,3.0,Residence,Canada
2004-05-01,8.0,Residence,Canada
2004-06-01,6.0,Residence,Canada
2004-07-01,5.0,Residence,Canada
2004-08-01,10.0,Residence,Canada
2004-09-01,1.0,Residence,Canada
2004-10-01,8.0,Residence,Canada
2004-11-01,12.0,Residence,Canada
2004-12-01,4.0,Residence,Canada
2005-01-01,5.0,Residence,Canada
